,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Energy Issues,0.33,0.16,0.34,0.26,0.24,0.34,0.3,0.34,0.25,0.25,0.27,0.41,0.43
Nuclear Energy,0.09,0.25,0.16,0.15,0.1,0.17,0.12,0.1,0.01,0.04,0.08,0.1,0.04
Nuclear Power Plants,0.12,0.23,0.15,0.1,0.11,0.1,0.09,0.11,0.07,0.05,0.02,0.04,0.01
Climate Change Emissions,0.08,0.09,0.09,0.02,0.02,0.07,0.09,0.06,0.12,0.17,0.25,0.11,0.05
Energy Prices,0.05,0.01,0.0,0.02,0.0,0.0,0.12,0.02,0.01,0.0,0.02,0.07,0.15
Renewable Energy Sources,0.13,0.09,0.05,0.06,0.04,0.04,0.0,0.02,0.0,0.04,0.01,0.02,0.02
Electric Vehicles Emissions,0.02,0.0,0.02,0.01,0.0,0.02,0.03,0.11,0.18,0.12,0.04,0.04,0.01
Fuel Tax Prices,0.03,0.06,0.03,0.01,0.01,0.01,0.04,0.0,0.0,0.01,0.09,0.03,0.08
Bank Gold Reserves,0.0,0.02,0.08,0.1,0.14,0.08,0.04,0.02,0.0,0.0,0.0,0.0,0.0
Wolf Animals Wolves,0.04,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.06,0.04,0.09,0.06,0.04
Water Supply/Privatization,0.01,0.0,0.01,0.13,0.03,0.02,0.03,0.03,0.05,0.01,0.0,0.0,0.01
Efficiency Energy Laws,0.03,0.03,0.02,0.09,0.03,0.02,0.01,0.0,0.0,0.01,0.0,0.01,0.0
Plastic Waste Recycling,0.02,0.01,0.0,0.03,0.01,0.0,0.02,0.02,0.1,0.04,0.04,0.01,0.0
Pipeline Projects,0.0,0.0,0.0,0.0,0.09,0.02,0.02,0.03,0.04,0.06,0.0,0.0,0.01
Climate Change,0.02,0.01,0.03,0.0,0.0,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.01
EU Fuel Position,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.04,0.01,0.04,0.01,0.01,0.01
Energy Sovereignty,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.07
Energy Transition,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.03,0.07,0.07,0.0,0.01,0.01
Climate Issues,0.0,0.0,0.0,0.02,0.01,0.01,0.05,0.04,0.01,0.01,0.02,0.04,0.0
Russia Embargo/Sanctions,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Gas Russia Ukraine,0.0,0.0,0.0,0.0,0.09,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0
